bayes_acc,knn_acc,lda_acc,log_acc,train_size
0.6743511918971455,0.7917675544794189,0.7873171230774477,0.7245847969170958,1000.0
0.7820141186099648,0.8668451386283804,0.8732735395423388,0.7744603212495311,2000.0
0.8384203526242199,0.89010333185554,0.8935477270402074,0.793370391842581,3000.0
0.8448999079221089,0.8938376018824813,0.8853630256112949,0.8020495856494901,4000.0
0.855096681785629,0.897742386522525,0.8905296183882959,0.8074037445009037,5000.0
0.8693517034409849,0.920454932987757,0.9025167956893906,0.8276949834600825,6000.0
0.8742454728370221,0.9269174368243358,0.9124407461719469,0.8478668621900897,7000.0
0.8824813286498653,0.9308733758483102,0.9207618592913412,0.8696074753606384,8000.0
0.8873580465845923,0.9345564914913208,0.9237117620980118,0.8796507860723664,9000.0
0.889080244176926,0.9382225556730212,0.9278552671963988,0.8867441939774239,10000.0
0.887409200968523,0.9380861439825393,0.9260648637588241,0.8867441939774239,11000.0
0.8863861132899089,0.9386658936670873,0.9245472837022133,0.887119326126249,12000.0
0.8887051120281008,0.9386829451283975,0.9242233059373188,0.8899498687037479,13000.0
0.8854653343791563,0.9381714012890905,0.9220407188896088,0.8893871704805102,14000.0
0.884425195239232,0.9374211369914401,0.9208300651365822,0.8894212734031306,15000.0
0.8858916209119122,0.9381202469051598,0.9210517341336153,0.8937011901919995,16000.0
0.8864372676738397,0.9373699826075095,0.923149063874774,0.8977253350612148,17000.0
0.8880571564983119,0.9368754902295127,0.9250588275415204,0.9010503700167104,18000.0
0.8885175459536883,0.9377621662176449,0.9264229444463391,0.9038468096715888,19000.0
0.889080244176926,0.9399959076492855,0.9278552671963988,0.906916072707431,20000.0
